6714 Sebert Ave, Cleveland, 44105 (5 requests)
General Exterior Maintenance/Fence/Outbuildings, May 28, 2024, 04:29PM

16301 Walden Ave, Cleveland, 44128 (3 requests)
Vacant Property, May 28, 2024, 09:12PM
Vacant Property, June 03, 2024, 03:41PM
Vacant and Distressed Property, June 03, 2024, 03:45PM

9013 Empire Ave, Cleveland, Oh, 44108 (3 requests)
Vacant Property, June 05, 2024, 03:15PM
Vacant Property, June 21, 2024, 02:23PM
Vacant and Distressed Property, July 03, 2024, 12:08PM

380 Eddy Rd, Cleveland, Oh, 44108 (3 requests)
Waste Cart Concerns, June 05, 2024, 04:49PM
General Exterior Maintenance/Fence/Outbuildings, June 05, 2024, 04:56PM
Waste Cart Concerns, July 08, 2024, 06:59AM

3333 Woodbridge Ave, Cleveland, Oh, 44109 (3 requests)
General Exterior Maintenance/Fence/Outbuildings, June 05, 2024, 09:22PM
Vacant Property, June 05, 2024, 09:22PM
Illegal Dumping, June 05, 2024, 09:24PM

13502 Crennell Ave, Cleveland, Oh, 44105 (3 requests)
Illegal Dumping, June 06, 2024, 12:55PM
Vacant Property, June 06, 2024, 12:56PM
Vacant Property Open to Entry, June 06, 2024, 12:57PM

14505 Harvard Ave, Cleveland, Oh, 44128 (3 requests)
Waste Cart Concerns, June 06, 2024, 02:23PM
Waste Cart Concerns, June 06, 2024, 02:24PM
Tree Service, June 06, 2024, 04:21PM

601 Erieside Ave, Cleveland, Oh, 44114 (3 requests)
Playground Equipment, June 06, 2024, 02:35PM
Damaged Guardrail, June 06, 2024, 02:36PM
Smoke Detector/Fire Alarm, July 16, 2024, 04:51PM

3277 W 23Rd Pl, Cleveland, Oh, 44109 (3 requests)
General Exterior Maintenance/Fence/Outbuildings, June 06, 2024, 04:13PM
Vacant Property, July 08, 2024, 06:42PM
Vacant Property, July 23, 2024, 01:40PM

4105 Riverside Ave, Cleveland, Oh, 44109 (3 requests)
Missed Refuse pick up, June 07, 2024, 10:37AM
Missed Refuse pick up, June 28, 2024, 11:16AM
Missed Refuse pick up, July 12, 2024, 12:17AM

9122 Parkgate Ave, Cleveland, Oh, 44108 (3 requests)
Vacant Property Open to Entry, June 07, 2024, 12:39PM
Vacant Property Open to Entry, July 16, 2024, 06:45PM
Vacant Property, July 16, 2024, 06:53PM

6719 Lansing Ave, Cleveland, Oh, 44105 (3 requests)
Waste Cart Concerns, June 07, 2024, 07:36PM
Missing Recycling Welcome Packet, June 07, 2024, 07:54PM
Scheduled Bulk Pick up, July 05, 2024, 01:04PM

12701 Shaker Blvd, Cleveland, Oh, 44120 (3 requests)
Electrical Issue, June 13, 2024, 09:53AM
Rental Inspection Complaint, July 08, 2024, 02:51PM
Rental Inspection Complaint, July 10, 2024, 05:35PM

2167 W 98Th St, Cleveland, Oh, 44102 (3 requests)
Vacant Property, June 19, 2024, 06:52PM
Vacant Property Open to Entry, June 27, 2024, 11:09PM
Vacant Property, June 27, 2024, 11:10PM

3293 E 126Th St, Cleveland, Oh, 44120 (3 requests)
Vacant Property, June 19, 2024, 08:31PM
Vacant Property, July 22, 2024, 10:08AM
Vacant Property, July 22, 2024, 02:53PM

3616 Lloyd Rd, Cleveland, Oh, 44111 (3 requests)
Waste Cart Concerns, June 20, 2024, 04:57PM
Missed Refuse pick up, June 20, 2024, 04:59PM
Missing Recycling Welcome Packet, June 20, 2024, 05:01PM

3153 Becket Rd, Cleveland, Oh, 44120 (3 requests)
Vacant Property, June 20, 2024, 08:39PM
General Exterior Maintenance/Fence/Outbuildings, June 20, 2024, 08:43PM
Vacant Property, June 20, 2024, 08:45PM

1500 E 75Th St, Cleveland, Oh, 44103 (3 requests)
Vacant Property, June 24, 2024, 03:57PM
Vacant Property, June 24, 2024, 03:59PM
General Exterior Maintenance/Fence/Outbuildings, June 24, 2024, 04:03PM

9109 Blaine Ave, Cleveland, Oh, 44106 (3 requests)
Vacant Property Open to Entry, June 24, 2024, 05:07PM
Vacant and Distressed Property, June 24, 2024, 05:10PM
Vacant Property Open to Entry, July 10, 2024, 07:38PM

13712 Kinsman Rd, Cleveland, Oh, 44120 (3 requests)
Vacant Property, June 24, 2024, 08:32PM
General Exterior Maintenance/Fence/Outbuildings, June 24, 2024, 08:38PM
Vacant Property, June 24, 2024, 08:54PM

9821 Gambier Ave, Cleveland, Oh, 44102 (3 requests)
Vacant Property, June 26, 2024, 01:44PM
Vacant Property, June 26, 2024, 01:47PM
Illegal Dumping, June 26, 2024, 01:50PM

5814 Bonna Ave, Cleveland, Oh, 44103 (3 requests)
Vacant Property, June 26, 2024, 09:18PM
Vacant Property, June 26, 2024, 09:19PM
Fallen or Hanging Branch, June 26, 2024, 09:21PM

5802 Bonna Ave, Cleveland, Oh, 44103 (3 requests)
Vacant Property Open to Entry, June 26, 2024, 09:28PM
Vacant Property, June 26, 2024, 09:29PM
General Exterior Maintenance/Fence/Outbuildings, June 26, 2024, 09:32PM

3662 W 104Th St, Cleveland, Oh, 44111 (3 requests)
Waste Cart Concerns, June 27, 2024, 01:25PM
Waste Cart Concerns, June 27, 2024, 01:38PM
Cart Pick Up, June 27, 2024, 02:08PM

13805 Earlwood Rd, Cleveland, Oh, 44110 (3 requests)
Vacant Property, June 27, 2024, 03:24PM
Vacant Property, June 27, 2024, 03:28PM
Tree Service, July 19, 2024, 01:04PM

8413 Bancroft Ave, Cleveland, Oh, 44105 (3 requests)
Waste Cart Concerns, June 27, 2024, 04:34PM
Cart Pick Up, June 27, 2024, 04:35PM
Missing Recycling Welcome Packet, June 27, 2024, 06:16PM

5111 Herman Ave, Cleveland, Oh, 44102 (3 requests)
Illegal Dumping, June 27, 2024, 08:15PM
General Exterior Maintenance/Fence/Outbuildings, June 27, 2024, 08:16PM
Vacant Property Open to Entry, June 27, 2024, 08:18PM

12104 Castlewood Ave, Cleveland, Oh, 44108 (3 requests)
Vacant Property Open to Entry, June 27, 2024, 10:20PM
General Exterior Maintenance/Fence/Outbuildings, June 27, 2024, 10:23PM
Vacant Property, June 27, 2024, 10:24PM

556 E 118Th St, Cleveland, Oh, 44108 (3 requests)
Illegal Dumping, June 28, 2024, 11:53AM
Vacant Property, June 28, 2024, 11:55AM
Illegal Dumping, July 25, 2024, 01:48PM

3221 W 41St St, Cleveland, Oh, 44109 (3 requests)
Vacant Property Open to Entry, June 28, 2024, 01:14PM
Vacant Property, July 01, 2024, 08:41PM
Vacant Property Open to Entry, July 24, 2024, 04:52PM

3712 Burten Ct, Cleveland, Oh, 44115 (3 requests)
Waste Cart Concerns, June 28, 2024, 01:52PM
Waste Cart Concerns, June 28, 2024, 01:54PM
Missing Recycling Welcome Packet, June 28, 2024, 01:56PM

3168 E 49Th St, Cleveland, Oh, 44127 (3 requests)
Vacant Property Open to Entry, July 01, 2024, 05:15PM
Vacant Property Open to Entry, July 08, 2024, 06:11PM
General Exterior Maintenance/Fence/Outbuildings, July 08, 2024, 06:12PM

3412 Riverside Ave, Cleveland, Oh, 44109 (3 requests)
Vacant Property, July 01, 2024, 08:11PM
Vacant Property Open to Entry, July 09, 2024, 02:16PM
Vacant Property Open to Entry, July 10, 2024, 03:31PM

1344 Ansel Rd, Cleveland, Oh, 44106 (3 requests)
Waste Cart Concerns, July 02, 2024, 01:58PM
Waste Cart Concerns, July 02, 2024, 02:00PM
Recycling Opt-in Program, July 02, 2024, 02:18PM

5812 Portage Ave, Cleveland, Oh, 44127 (3 requests)
Vacant Property, July 02, 2024, 02:34PM
Vacant and Distressed Property, July 02, 2024, 02:36PM
Vacant Property Open to Entry, July 02, 2024, 02:39PM

3086 W 105Th St, Cleveland, Oh, 44111 (3 requests)
Waste Cart Concerns, July 03, 2024, 01:49PM
Vacant Property Open to Entry, July 09, 2024, 01:09PM
Scheduled Bulk Pick up, July 17, 2024, 03:22PM

14131 Tuckahoe Ave, Cleveland, Oh, 44111 (3 requests)
Waste Cart Concerns, July 03, 2024, 03:09PM
Waste Cart Concerns, July 22, 2024, 10:58PM
Waste Cart Concerns, July 24, 2024, 08:04AM

5600 Central Ave, Cleveland, Oh, 44104 (3 requests)
Vacant Property Open to Entry, July 04, 2024, 04:21PM
Vacant Property Open to Entry, July 16, 2024, 01:59PM
Vacant Property Open to Entry, July 18, 2024, 02:15AM

4008 Burger Ave, Cleveland, Oh, 44109 (3 requests)
Waste Cart Concerns, July 05, 2024, 04:34PM
Missing Recycling Welcome Packet, July 05, 2024, 04:36PM
Cart Pick Up, July 08, 2024, 03:15PM

2542 E 86Th St, Cleveland, Oh, 44104 (3 requests)
Vacant Property, July 05, 2024, 09:23PM
Vacant Property, July 05, 2024, 09:25PM
General Exterior Maintenance/Fence/Outbuildings, July 05, 2024, 09:27PM

1081 Lakeview Rd, Cleveland, Oh, 44108 (3 requests)
Missed Refuse pick up, July 09, 2024, 06:09PM
Missed Refuse pick up, July 10, 2024, 06:04PM
Tree Service, July 18, 2024, 08:24AM

4213 Marvin Ave, Cleveland, Oh, 44109 (3 requests)
Vacant and Distressed Property, July 09, 2024, 06:55PM
Vacant Property Open to Entry, July 09, 2024, 07:05PM
Vacant Property, July 09, 2024, 07:07PM

3613 W 47Th St, Cleveland, Oh, 44102 (3 requests)
Vacant Property, July 10, 2024, 12:43PM
Vacant Property Open to Entry, July 10, 2024, 12:43PM
Vacant Property Open to Entry, July 17, 2024, 03:25PM

4451 W 57Th St, Cleveland, Oh, 44144 (3 requests)
Waste Cart Concerns, July 10, 2024, 02:01PM
Waste Cart Concerns, July 10, 2024, 02:03PM
Recycling Opt-in Program, July 10, 2024, 02:05PM

4018 E 123Rd St, Cleveland, Oh, 44105 (3 requests)
Vacant Property Open to Entry, July 10, 2024, 02:27PM
Vacant and Distressed Property, July 10, 2024, 02:28PM
Vacant Property, July 10, 2024, 02:29PM

4085 E 186Th St, Cleveland, Oh, 44122 (3 requests)
Vacant Property, July 11, 2024, 02:19PM
General Exterior Maintenance/Fence/Outbuildings, July 11, 2024, 02:21PM
Vacant Property Open to Entry, July 11, 2024, 02:22PM

2104 W 25Th St, Cleveland, Oh, 44113 (3 requests)
Vacant Property Open to Entry, July 11, 2024, 09:17PM
Vacant Property, July 11, 2024, 09:18PM
General Exterior Maintenance/Fence/Outbuildings, July 12, 2024, 06:36PM

9905 Sandusky Ave, Cleveland, Oh, 44105 (3 requests)
General Exterior Maintenance/Fence/Outbuildings, July 12, 2024, 01:42PM
Illegal Dumping, July 12, 2024, 01:44PM
Vacant Property, July 12, 2024, 01:51PM

9909 Sandusky Ave, Cleveland, Oh, 44105 (3 requests)
Vacant and Distressed Property, July 12, 2024, 01:47PM
Illegal Dumping, July 12, 2024, 01:49PM
Vacant Property, July 12, 2024, 01:50PM

17312 Tarrymore Rd, Cleveland, Oh, 44119 (3 requests)
Vacant Property, July 12, 2024, 03:11PM
Vacant Property, July 15, 2024, 03:33PM
General Exterior Maintenance/Fence/Outbuildings, July 15, 2024, 03:35PM

1912 W 71St St, Cleveland, Oh, 44102 (3 requests)
Waste Cart Concerns, July 12, 2024, 04:03PM
Waste Cart Concerns, July 12, 2024, 04:04PM
Missing Recycling Welcome Packet, July 12, 2024, 04:06PM

3664 E 154Th St, Cleveland, Oh, 44120 (3 requests)
Waste Cart Concerns, July 15, 2024, 04:44PM
Waste Cart Concerns, July 15, 2024, 04:45PM
Recycling Opt-in Program, July 15, 2024, 04:47PM

2104 W 85Th St, Cleveland, Oh, 44102 (3 requests)
Waste Cart Concerns, July 15, 2024, 05:01PM
Waste Cart Concerns, July 15, 2024, 05:03PM
Missing Recycling Welcome Packet, July 15, 2024, 05:04PM

13721 Emery Ave, Cleveland, Oh, 44135 (3 requests)
Waste Cart Concerns, July 17, 2024, 03:04PM
Waste Cart Concerns, July 24, 2024, 06:44PM
Cart Pick Up, July 24, 2024, 06:45PM

353 E 123Rd St, Cleveland, Oh, 44108 (3 requests)
Waste Cart Concerns, July 17, 2024, 04:36PM
Cart Pick Up, July 17, 2024, 04:37PM
Waste Cart Concerns, July 17, 2024, 04:38PM

4443 W 58Th St, Cleveland, Oh, 44144 (3 requests)
Waste Cart Concerns, July 18, 2024, 12:49PM
Missing Recycling Welcome Packet, July 18, 2024, 12:50PM
Waste Cart Concerns, July 22, 2024, 06:52PM

3076 W 104Th St, Cleveland, Oh, 44111 (3 requests)
Vacant Property Open to Entry, July 18, 2024, 08:07PM
Vacant Property Open to Entry, July 20, 2024, 08:08PM
Vacant and Distressed Property, July 23, 2024, 07:13PM

8410 Denison Ave, Cleveland, Oh, 44102 (3 requests)
New Public Street Receptacle, July 18, 2024, 11:32PM
Waste Cart Concerns, July 22, 2024, 01:19PM
Waste Cart Concerns, July 22, 2024, 01:23PM

2184 E 82Nd St, Cleveland, Oh, 44103 (3 requests)
Plumbing Concern, July 20, 2024, 03:54PM
Plumbing Concern, July 24, 2024, 11:51AM
Rental Inspection Complaint, July 24, 2024, 12:46PM

9717 Marah Ave, Cleveland, Oh, 44104 (3 requests)
Vacant Property Open to Entry, July 22, 2024, 04:01PM
Illegal Use of Property, July 22, 2024, 04:03PM
Illegal Dumping, July 22, 2024, 04:15PM

17007 Scullin Dr, Cleveland, Oh, 44111 (3 requests)
Waste Cart Concerns, July 22, 2024, 05:14PM
Waste Cart Concerns, July 22, 2024, 05:15PM
Missing Recycling Welcome Packet, July 22, 2024, 05:17PM

5838 Portage Ave, Cleveland, Oh, 44127 (3 requests)
Waste Cart Concerns, July 22, 2024, 05:20PM
Waste Cart Concerns, July 22, 2024, 05:21PM
Recycling Opt-in Program, July 22, 2024, 05:22PM

13805 Svec Ave, Cleveland, Oh, 44120 (3 requests)
Waste Cart Concerns, July 22, 2024, 05:56PM
Waste Cart Concerns, July 22, 2024, 05:57PM
Missing Recycling Welcome Packet, July 22, 2024, 05:58PM

1227 W 69Th St, Cleveland, Oh, 44102 (3 requests)
Waste Cart Concerns, July 22, 2024, 08:16PM
Waste Cart Concerns, July 22, 2024, 08:17PM
Missing Recycling Welcome Packet, July 22, 2024, 08:18PM

3602 W 45Th St, Cleveland, Oh, 44102 (3 requests)
Waste Cart Concerns, July 23, 2024, 01:52PM
Waste Cart Concerns, July 23, 2024, 01:53PM
Missing Recycling Welcome Packet, July 23, 2024, 01:54PM

1874 E 85Th St, Cleveland, Oh, 44106 (3 requests)
Waste Cart Concerns, July 24, 2024, 05:03PM
Waste Cart Concerns, July 24, 2024, 05:03PM
Recycling Opt-in Program, July 24, 2024, 05:04PM

11021 Fortune Ave, Cleveland, Oh, 44111 (3 requests)
Waste Cart Concerns, July 24, 2024, 05:58PM
Waste Cart Concerns, July 24, 2024, 05:59PM
Missing Recycling Welcome Packet, July 24, 2024, 06:00PM

6307 Dellbank Dr, Cleveland, Oh, 44144 (3 requests)
Waste Cart Concerns, July 25, 2024, 03:36PM
Waste Cart Concerns, July 25, 2024, 03:36PM
Missing Recycling Welcome Packet, July 25, 2024, 03:38PM

11805 Farringdon Ave, Cleveland, 44105 (2 requests)
Waste Cart Concerns, May 15, 2024, 12:57PM
Missed Refuse pick up, May 15, 2024, 12:58PM

3911 E 131 St, Cleveland, 44105 (2 requests)
Vacant Property Open to Entry, May 15, 2024, 05:10PM
Vacant and Distressed Property, May 15, 2024, 05:11PM

10823 Churchill Ave, Cleveland, 44106 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, May 15, 2024, 05:39PM
Vacant Property, May 15, 2024, 05:41PM

10528 Elgin Ave, Cleveland, 44108 (2 requests)
Vacant Property, May 15, 2024, 06:58PM
Fallen Trees, May 15, 2024, 06:59PM

10316 Prince Ave, Cleveland, 44105 (2 requests)
Vacant Property, May 15, 2024, 07:02PM
Vacant Property, May 15, 2024, 08:08PM

4402 Behrwald Ave, Cleveland, 44109 (2 requests)
Waste Cart Concerns, May 15, 2024, 07:27PM
Missing Recycling Welcome Packet, May 15, 2024, 07:28PM

12112 Wayland Ave, Cleveland, 44111 (2 requests)
Waste Cart Concerns, May 15, 2024, 08:26PM
Missing Recycling Welcome Packet, May 15, 2024, 08:27PM

9817 Dickens Ave, Cleveland, 44104 (2 requests)
Vacant Property Open to Entry, May 15, 2024, 09:11PM
Vacant and Distressed Property, May 22, 2024, 06:10PM

475 E 109 St, Cleveland, 44108 (2 requests)
Illegal Use of Property, May 16, 2024, 12:24PM
Early Set Out-Carts Left Out After Collection, May 16, 2024, 12:28PM

2714 Oak Park Ave, Cleveland, 44109 (2 requests)
Waste Cart Concerns, May 16, 2024, 12:38PM
Missing Recycling Welcome Packet, May 16, 2024, 12:40PM

3272 E 147 St, Cleveland, 44120 (2 requests)
Vacant Property, May 16, 2024, 01:02PM
Tree Service, May 16, 2024, 02:28PM

12423 Phillips Ave, Cleveland, 44108 (2 requests)
No Heat, May 16, 2024, 02:10PM
No Heat, May 16, 2024, 07:15PM

2836 East Blvd, Cleveland, 44104 (2 requests)
Vacant Property, May 16, 2024, 03:21PM
Vacant Property, May 16, 2024, 03:23PM

2121 W 19 St, Cleveland, 44113 (2 requests)
Parks Maintenance, May 16, 2024, 04:52PM
Parks Maintenance, May 16, 2024, 04:54PM

785 E 156 St, Cleveland, 44110 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, May 16, 2024, 08:09PM
Tree Service, May 16, 2024, 08:11PM

1664 Burgess Rd, Cleveland, 44112 (2 requests)
Vacant Property, May 17, 2024, 03:14PM
Vacant Property, May 24, 2024, 05:48PM

3550 E 153 St, Cleveland, 44120 (2 requests)
Vacant Property, May 17, 2024, 03:20PM
Vacant Property, May 30, 2024, 07:45PM

12022 Matherson Ave, Cleveland, 44135 (2 requests)
Dead Animal Pickup, May 18, 2024, 05:56PM
Dead Animal Pickup, May 21, 2024, 08:57PM

4270 E 168 St, Cleveland, 44128 (2 requests)
