CaseID,Location,CaseType,OpenedDateTime
24074,"10823 CHURCHILL AVE, CLEVELAND, 44106",General Exterior Maintenance/Fence/Outbuildings,"May 15, 2024, 01:39PM"
24076,"10823 CHURCHILL AVE, CLEVELAND, 44106",Vacant Property,"May 15, 2024, 01:41PM"
24084,"706 E 96 ST, CLEVELAND, 44108",Spills-Trash in Street or Treelawn,"May 15, 2024, 02:07PM"
24090,"14120 COURTLAND AVE, CLEVELAND, 44111",Waste Cart Concerns,"May 15, 2024, 02:12PM"
24099,"787 E 154 ST, CLEVELAND, 44110",Dead Animal Pickup,"May 15, 2024, 02:30PM"
24105,"605 E 109 ST, CLEVELAND, 44108",Fallen or Hanging Branch,"May 15, 2024, 02:35PM"
24110,"12804 GAY AVE, CLEVELAND, 44105",Waste Cart Concerns,"May 15, 2024, 02:42PM"
24111,"3817 W 152 ST, CLEVELAND, 44111",Waste Cart Concerns,"May 15, 2024, 02:42PM"
24115,"2274 E 74 ST, CLEVELAND, 44103",Tree Service,"May 15, 2024, 02:46PM"
24121,"10528 ELGIN AVE, CLEVELAND, 44108",Vacant Property,"May 15, 2024, 02:58PM"
24123,"10528 ELGIN AVE, CLEVELAND, 44108",Fallen Trees,"May 15, 2024, 02:59PM"
24125,"2268 E 74 ST, CLEVELAND, 44103",Tree Service,"May 15, 2024, 03:02PM"
24126,"10316 PRINCE AVE, CLEVELAND, 44105",Vacant Property,"May 15, 2024, 03:02PM"
24132,"2429 MARTIN LUTHER KING DR. RD, CLEVELAND, 44120",Dead Animal Pickup,"May 15, 2024, 03:09PM"
24136,"3328 E 118 ST, CLEVELAND, 44120",Vacant Property,"May 15, 2024, 03:10PM"
24141,"19220 HOMEWAY AVE, CLEVELAND, 44135",Vacant Property,"May 15, 2024, 03:13PM"
24143,"2853 EAST BLVD, CLEVELAND, 44104",Vacant Property,"May 15, 2024, 03:16PM"
24145,"2813 PORTMAN AVE, CLEVELAND, 44109",Waste Cart Concerns,"May 15, 2024, 03:17PM"
24149,"2145 W 104 ST, CLEVELAND, 44102",Vacant Property,"May 15, 2024, 03:19PM"
24153,"3616 MEMPHIS AVE, CLEVELAND, 44109",Vacant Property,"May 15, 2024, 03:22PM"
24159,"13318 BEACHWOOD AVE, CLEVELAND, 44105",Vacant Property,"May 15, 2024, 03:25PM"
24161,"13322 BEACHWOOD AVE, CLEVELAND, 44105",Vacant Property,"May 15, 2024, 03:26PM"
24164,"4402 BEHRWALD AVE, CLEVELAND, 44109",Waste Cart Concerns,"May 15, 2024, 03:27PM"
24166,"2617 E 112 ST, CLEVELAND, 44104",Missed Refuse pick up,"May 15, 2024, 03:28PM"
24167,"4402 BEHRWALD AVE, CLEVELAND, 44109",Missing Recycling Welcome Packet,"May 15, 2024, 03:28PM"
24168,"3643 E 117 ST, CLEVELAND, 44105",Vacant Property,"May 15, 2024, 03:30PM"
24176,"3643 E 117 ST, CLEVELAND, 44105",Collapsing Structure,"May 15, 2024, 03:34PM"
24183,"17300 LAKE SHORE BLVD, CLEVELAND, 44119",Vacant Property,"May 15, 2024, 03:37PM"
24186,"3775 W 135 ST, CLEVELAND, 44111",General Exterior Maintenance/Fence/Outbuildings,"May 15, 2024, 03:40PM"
24201,"10822 ST MARK AVE, CLEVELAND, 44111",Waste Cart Concerns,"May 15, 2024, 03:49PM"
24203,"3501 KRATHER RD, CLEVELAND, 44109",General Exterior Maintenance/Fence/Outbuildings,"May 15, 2024, 03:50PM"
24210,"4480 E 143 ST, CLEVELAND, 44128",General Exterior Maintenance/Fence/Outbuildings,"May 15, 2024, 03:57PM"
24218,"1196 E 99 ST, CLEVELAND, 44108",Missed Refuse pick up,"May 15, 2024, 04:05PM"
24221,"10316 PRINCE AVE, CLEVELAND, 44105",Vacant Property,"May 15, 2024, 04:08PM"
24222,"10514 PRINCE AVE, CLEVELAND, 44105",Vacant Property,"May 15, 2024, 04:11PM"
24223,"7808 NEW YORK AVE, CLEVELAND, 44105",Vacant Property,"May 15, 2024, 04:13PM"
24231,"9200 PIERPONT AVE, CLEVELAND, 44108",Missed Refuse pick up,"May 15, 2024, 04:20PM"
24237,"12112 WAYLAND AVE, CLEVELAND, 44111",Waste Cart Concerns,"May 15, 2024, 04:26PM"
24239,"12112 WAYLAND AVE, CLEVELAND, 44111",Missing Recycling Welcome Packet,"May 15, 2024, 04:27PM"
24245,"2432 E 66 ST, CLEVELAND, 44104",Missed Refuse pick up,"May 15, 2024, 04:34PM"
24247,"558 E 124 ST, CLEVELAND, 44108",Vacant Property,"May 15, 2024, 04:37PM"
24252,"3541 E 131 ST, CLEVELAND, 44120",Dead Animal Pickup,"May 15, 2024, 04:54PM"
24260,"9813 DICKENS AVE, CLEVELAND, 44104",Vacant and Distressed Property,"May 15, 2024, 05:06PM"
24264,"9817 DICKENS AVE, CLEVELAND, 44104",Vacant Property Open to Entry,"May 15, 2024, 05:11PM"
24269,"9702 PARMELEE AVE, CLEVELAND, 44108",Missed Refuse pick up,"May 15, 2024, 05:15PM"
24270,"3915 STORER AVE, CLEVELAND, 44109",Vacant Property,"May 15, 2024, 05:15PM"
24273,"9909 UNION AVE, CLEVELAND, 44105",Scheduled Bulk Pick up,"May 15, 2024, 05:25PM"
24279,"19202 MUSKOKA AVE, CLEVELAND, 44119",Vacant Property Open to Entry,"May 15, 2024, 08:54PM"
24281,"1233 E 80 ST, CLEVELAND, 44103",Vacant Property Open to Entry,"May 15, 2024, 11:08PM"
24286,"3610 LEOPOLD AVE, CLEVELAND, 44109",Waste Cart Concerns,"May 16, 2024, 07:20AM"
24287,"14505 BENWOOD AVE, CLEVELAND, 44128",Dead Animal Pickup,"May 16, 2024, 07:25AM"
24290,"11805 GRIFFING AVE, CLEVELAND, 44120",Missed Refuse pick up,"May 16, 2024, 07:53AM"
24293,"10920 DOVE AVE, CLEVELAND, 44105",Dead Animal Pickup,"May 16, 2024, 07:56AM"
24298,"889 GINO LN, CLEVELAND, 44109",Missing Recycling Welcome Packet,"May 16, 2024, 08:10AM"
24304,"475 E 109 ST, CLEVELAND, 44108",Illegal Use of Property,"May 16, 2024, 08:24AM"
24305,"3571 E 108 ST, CLEVELAND, 44105",Waste Cart Concerns,"May 16, 2024, 08:26AM"
24308,"475 E 109 ST, CLEVELAND, 44108",Early Set Out-Carts Left Out After Collection,"May 16, 2024, 08:28AM"
24312,"638 E 103 ST, CLEVELAND, 44108",Missed Refuse pick up,"May 16, 2024, 08:34AM"
24315,"738 E 91 ST, CLEVELAND, 44108",Waste Cart Concerns,"May 16, 2024, 08:37AM"
24316,"2714 OAK PARK AVE, CLEVELAND, 44109",Waste Cart Concerns,"May 16, 2024, 08:38AM"
24318,"3463 E 108 ST, CLEVELAND, 44104",Vacant Property,"May 16, 2024, 08:39AM"
24319,"2714 OAK PARK AVE, CLEVELAND, 44109",Missing Recycling Welcome Packet,"May 16, 2024, 08:40AM"
24327,"1455 W 114 ST, CLEVELAND, 44102",Missing Recycling Welcome Packet,"May 16, 2024, 08:48AM"
24334,"6624 CHARTER AVE, CLEVELAND, 44127",Waste Cart Concerns,"May 16, 2024, 08:56AM"
24340,"3272 E 147 ST, CLEVELAND, 44120",Vacant Property,"May 16, 2024, 09:02AM"
24342,"4579 FULTON RD, CLEVELAND, 44144",Waste Cart Concerns,"May 16, 2024, 09:04AM"
24346,"3770 W 39 ST, CLEVELAND, 44109",Missed Refuse pick up,"May 16, 2024, 09:08AM"
24352,"3705 E 108 ST, CLEVELAND, 44105",Waste Cart Concerns,"May 16, 2024, 09:12AM"
24354,"1978 W 58 ST, CLEVELAND, 44102",Waste Cart Concerns,"May 16, 2024, 09:14AM"
24359,"10521 BALTIC RD, CLEVELAND, 44102",Missed Refuse pick up,"May 16, 2024, 09:19AM"
24366,"6617 BELVIDERE AVE, CLEVELAND, 44103",Missed Refuse pick up,"May 16, 2024, 09:37AM"
24370,"6010 MAURICE AVE, CLEVELAND, 44127",Waste Cart Concerns,"May 16, 2024, 09:39AM"
24372,"2717 E 116 ST, CLEVELAND, 44120",Waste Cart Concerns,"May 16, 2024, 09:42AM"
24394,"6927 WORLEY AVE, CLEVELAND, 44105",Vacant Property Open to Entry,"May 16, 2024, 10:09AM"
24395,"7212 CAMDEN AVE, CLEVELAND, 44102",Vacant Property Open to Entry,"May 16, 2024, 10:09AM"
24397,"12423 PHILLIPS AVE, CLEVELAND, 44108",No Heat,"May 16, 2024, 10:10AM"
24399,"2036 TREADWAY AVE, CLEVELAND, 44109",Tree Service,"May 16, 2024, 10:14AM"
24410,"3272 E 147 ST, CLEVELAND, 44120",Tree Service,"May 16, 2024, 10:28AM"
24412,"4220 WOODBRIDGE AVE, CLEVELAND, 44109",Vacant Property,"May 16, 2024, 10:30AM"
24415,"11900 ABLEWHITE AVE, CLEVELAND, 44108",Vacant Property Open to Entry,"May 16, 2024, 10:37AM"
24416,"3551 W 100 ST, CLEVELAND, 44111",General Exterior Maintenance/Fence/Outbuildings,"May 16, 2024, 10:39AM"
24421,"1013 NATHANIEL RD, CLEVELAND, 44110",Waste Cart Concerns,"May 16, 2024, 10:46AM"
24423,"7401 FRANKLIN BLVD, CLEVELAND, 44102",No Water/No Hot Water,"May 16, 2024, 10:47AM"
24424,"1125 E 174 ST, CLEVELAND, 44119",Waste Cart Concerns,"May 16, 2024, 10:47AM"
24426,"8308 DENISON AVE, CLEVELAND, 44102",Rental Inspection Complaint,"May 16, 2024, 10:50AM"
24432,"2533 E 84 ST, CLEVELAND, 44104",Missing Recycling Welcome Packet,"May 16, 2024, 10:51AM"
24453,"9500 RAYMOND AVE, CLEVELAND, 44104",Vacant Property Open to Entry,"May 16, 2024, 11:13AM"
24454,"2481 GARDEN AVE, CLEVELAND, 44109",Vacant Property,"May 16, 2024, 11:14AM"
24456,"4538 EFFIE RD, CLEVELAND, 44105",Illegal Dumping,"May 16, 2024, 11:17AM"
24458,"2836 EAST BLVD, CLEVELAND, 44104",Vacant Property,"May 16, 2024, 11:21AM"
24460,"2836 EAST BLVD, CLEVELAND, 44104",Vacant Property,"May 16, 2024, 11:23AM"
24468,"10939 PASADENA AVE, CLEVELAND, 44108",Waste Cart Concerns,"May 16, 2024, 11:31AM"
24470,"5051 FINN AVE, CLEVELAND, 44127",Scheduled Bulk Pick up,"May 16, 2024, 11:33AM"
24476,"14617 GLENCLIFFE RD, CLEVELAND, 44111",General Exterior Maintenance/Fence/Outbuildings,"May 16, 2024, 11:38AM"
24479,"3290 W 157 ST, CLEVELAND, 44111",General Exterior Maintenance/Fence/Outbuildings,"May 16, 2024, 11:42AM"
24487,"3905 DENISON AVE, CLEVELAND, 44109",Missing Recycling Welcome Packet,"May 16, 2024, 11:50AM"
24489,"3547 W 61 ST, CLEVELAND, 44102",Waste Cart Concerns,"May 16, 2024, 11:52AM"
24494,"3559 W 61 ST, CLEVELAND, 44102",Waste Cart Concerns,"May 16, 2024, 11:57AM"
24499,"10922 GREENWICH AVE, CLEVELAND, 44105",Waste Cart Concerns,"May 16, 2024, 12:01PM"
24505,"11630 LORAIN AVE, CLEVELAND, 44111",General Exterior Maintenance/Fence/Outbuildings,"May 16, 2024, 12:05PM"
24515,"6409 CLARK AVE, CLEVELAND, 44102",Illegal Dumping,"May 16, 2024, 12:25PM"
24520,"12718 OAKFIELD AVE, CLEVELAND, 44105",Waste Cart Concerns,"May 16, 2024, 12:33PM"
24522,"2912 CLINTON AVE, CLEVELAND, 44113",General Exterior Maintenance/Fence/Outbuildings,"May 16, 2024, 12:36PM"
24527,"2121 W 19 ST, CLEVELAND, 44113",Parks Maintenance,"May 16, 2024, 12:52PM"
24528,"2121 W 19 ST, CLEVELAND, 44113",Parks Maintenance,"May 16, 2024, 12:54PM"
24535,"2437 E 79 ST, CLEVELAND, 44104",Vacant Property,"May 16, 2024, 01:03PM"
24549,"11718 LONGMEAD AVE, CLEVELAND, 44135",Missed Refuse pick up,"May 16, 2024, 01:25PM"
24563,"11613 HOPKINS AVE, CLEVELAND, 44108",Waste Cart Concerns,"May 16, 2024, 01:39PM"
24566,"6004 WHITTIER AVE, CLEVELAND, 44103",Missed Refuse pick up,"May 16, 2024, 01:45PM"
24571,"4492 BROOKS RD, CLEVELAND, 44105",Missing Recycling Welcome Packet,"May 16, 2024, 01:52PM"
24575,"14422 ASPINWALL AVE, CLEVELAND, 44110",Vacant and Distressed Property,"May 16, 2024, 01:54PM"
24586,"4492 TURNEY RD, CLEVELAND, 44105",Illegal Use of Property,"May 16, 2024, 02:04PM"
24588,"2552 BELVOIR BLVD, CLEVELAND, 44121",Vacant Property,"May 16, 2024, 02:05PM"
24590,"1432 ANSEL RD, CLEVELAND, 44106",General Exterior Maintenance/Fence/Outbuildings,"May 16, 2024, 02:09PM"
24592,"19507 PAWNEE AVE, CLEVELAND, 44119",Vacant Property,"May 16, 2024, 02:13PM"
24601,"14121 ELSETTA AVE, CLEVELAND, 44135",Waste Cart Concerns,"May 16, 2024, 02:26PM"
24602,"12604 ASTOR AVE, CLEVELAND, 44135",Waste Cart Concerns,"May 16, 2024, 02:27PM"
24608,"10622 GARFIELD AVE, CLEVELAND, 44108",Vacant Property,"May 16, 2024, 02:31PM"
24609,"10611 GARFIELD AVE, CLEVELAND, 44108",Vacant Property,"May 16, 2024, 02:33PM"
24611,"4908 MEMPHIS AVE, CLEVELAND, 44144",Illegal Use of Property,"May 16, 2024, 02:37PM"
24612,"10607 GARFIELD AVE, CLEVELAND, 44108",Vacant Property,"May 16, 2024, 02:38PM"
24613,"10603 GARFIELD AVE, CLEVELAND, 44108",Vacant Property,"May 16, 2024, 02:40PM"
24614,"4617 E 174 ST, CLEVELAND, 44128",Vacant Property,"May 16, 2024, 02:40PM"
24615,"4600 E 174 ST, CLEVELAND, 44128",Vacant Property,"May 16, 2024, 02:42PM"
24625,"8710 MERIDIAN AVE, CLEVELAND, 44106",Fallen or Hanging Branch,"May 16, 2024, 02:46PM"
24630,"4233 W 58 ST, CLEVELAND, 44144",Missing Recycling Welcome Packet,"May 16, 2024, 02:52PM"
24635,"8704 MERIDIAN AVE, CLEVELAND, 44106",Fallen Trees,"May 16, 2024, 02:56PM"
24637,"3328 W 98 ST, CLEVELAND, 44102",Missing Recycling Welcome Packet,"May 16, 2024, 02:57PM"
24643,"6515 LAWN AVE, CLEVELAND, 44102",Tire Pick up,"May 16, 2024, 03:01PM"
24648,"9511 MADISON AVE, CLEVELAND, 44102",Cart Pick Up,"May 16, 2024, 03:04PM"
24649,"4653 E 173 ST, CLEVELAND, 44128",Tree Service,"May 16, 2024, 03:04PM"
24652,"6611 LAWN AVE, CLEVELAND, 44102",Fallen or Hanging Branch,"May 16, 2024, 03:06PM"
24655,"2902 W 11 ST, CLEVELAND, 44113",Tire Pick up,"May 16, 2024, 03:10PM"
24658,"12423 PHILLIPS AVE, CLEVELAND, 44108",No Heat,"May 16, 2024, 03:15PM"
24665,"15807 NORWAY AVE, CLEVELAND, 44111",Illegal Dumping,"May 16, 2024, 03:27PM"
24672,"6701 MADISON AVE, CLEVELAND, 44102",Vacant Property,"May 16, 2024, 03:36PM"
24675,"10938 DREXEL AVE, CLEVELAND, 44108",Rental Inspection Complaint,"May 16, 2024, 03:37PM"
24676,"14629 WESTLAND AVE, CLEVELAND, 44111",Tree Service,"May 16, 2024, 03:38PM"
24686,"13524 MILES AVE, CLEVELAND, 44105",Waste Cart Concerns,"May 16, 2024, 03:55PM"
24693,"3663 E 103 ST, CLEVELAND, 44105",Missed Refuse pick up,"May 16, 2024, 04:04PM"
24695,"785 E 156 ST, CLEVELAND, 44110",General Exterior Maintenance/Fence/Outbuildings,"May 16, 2024, 04:09PM"
24697,"785 E 156 ST, CLEVELAND, 44110",Tree Service,"May 16, 2024, 04:11PM"
24701,"2479 E 124 ST, CLEVELAND, 44120",Cart Pick Up,"May 16, 2024, 04:24PM"
24705,"2315 EDGEHILL RD, CLEVELAND, 44106",Missed Refuse pick up,"May 16, 2024, 04:30PM"
24708,"1673 E 82 ST, CLEVELAND, 44103",Missed Refuse pick up,"May 16, 2024, 04:32PM"
24709,"1049 E 78 ST, CLEVELAND, 44103",Vacant Property,"May 16, 2024, 04:33PM"
24711,"1068 E 79 ST, CLEVELAND, 44103",Vacant Property,"May 16, 2024, 04:35PM"
24713,"3852 W 44 ST, CLEVELAND, 44109",Missed Refuse pick up,"May 16, 2024, 04:38PM"
24718,"15025 GRAPELAND AVE, CLEVELAND, 44111",Waste Cart Concerns,"May 16, 2024, 04:42PM"
24738,"472 E 110 ST, CLEVELAND, 44108",Vacant Property Open to Entry,"May 16, 2024, 11:17PM"
24744,"15018 HARVARD AVE, CLEVELAND, 44128",Dead Animal Pickup,"May 17, 2024, 07:25AM"
24749,"2235 E 39 ST, CLEVELAND, 44115",Tree Service,"May 17, 2024, 08:24AM"
24762,"8217 CEDAR AVE, CLEVELAND, 44103",Vacant Property,"May 17, 2024, 08:51AM"
24765,"4004 W 23 ST, CLEVELAND, 44109",Fallen Trees,"May 17, 2024, 08:54AM"
24766,"8115 CEDAR AVE, CLEVELAND, 44103",Vacant Property,"May 17, 2024, 08:56AM"
24768,"8116 CEDAR AVE, CLEVELAND, 44103",Tree Service,"May 17, 2024, 08:59AM"
24782,"4104 E 64 ST, CLEVELAND, 44105",Missed Refuse pick up,"May 17, 2024, 09:10AM"
24798,"4183 W 58 ST, CLEVELAND, 44144",Waste Cart Concerns,"May 17, 2024, 09:31AM"
24804,"3385 REGENT RD, CLEVELAND, 44127",General Exterior Maintenance/Fence/Outbuildings,"May 17, 2024, 09:36AM"
24808,"10113 ADAMS AVE, CLEVELAND, 44108",Vacant Property,"May 17, 2024, 09:39AM"
24809,"10106 ADAMS AVE, CLEVELAND, 44108",Vacant Property,"May 17, 2024, 09:41AM"
24813,"7205 CLEMENT AVE, CLEVELAND, 44105",Missed Refuse pick up,"May 17, 2024, 09:44AM"
24838,"7515 CEDAR AVE, CLEVELAND, 44103",General Exterior Maintenance/Fence/Outbuildings,"May 17, 2024, 10:21AM"
24845,"4398 BROADALE RD, CLEVELAND, 44109",Missed Refuse pick up,"May 17, 2024, 10:26AM"
24848,"13324 CROSSBURN AVE, CLEVELAND, 44135",Waste Cart Concerns,"May 17, 2024, 10:30AM"
24851,"4749 E 173 ST, CLEVELAND, 44128",Waste Cart Concerns,"May 17, 2024, 10:34AM"
24855,"8214 FORCE AVE, CLEVELAND, 44105",Missed Refuse pick up,"May 17, 2024, 10:41AM"
24856,"9400 CLIFTON BLVD, CLEVELAND, 44102",No Permit,"May 17, 2024, 10:42AM"
24867,"10610 PASADENA AVE, CLEVELAND, 44108",General Exterior Maintenance/Fence/Outbuildings,"May 17, 2024, 10:57AM"
24872,"4237 ROCKY RIVER DR, CLEVELAND, 44135",Rental Inspection Complaint,"May 17, 2024, 11:01AM"
24877,"1664 BURGESS RD, CLEVELAND, 44112",Vacant Property,"May 17, 2024, 11:14AM"
24879,"3550 E 153 ST, CLEVELAND, 44120",Vacant Property,"May 17, 2024, 11:20AM"
24881,"11313 HAZELDELL RD, CLEVELAND, 44108",Waste Cart Concerns,"May 17, 2024, 11:22AM"
24882,"3544 E 153 ST, CLEVELAND, 44120",Vacant Property,"May 17, 2024, 11:23AM"
24886,"13006 UNION AVE, CLEVELAND, 44105",Illegal Use of Property,"May 17, 2024, 11:28AM"
24892,"2173 E 73 ST, CLEVELAND, 44103",Vacant and Distressed Property,"May 17, 2024, 11:33AM"
24893,"3385 W 44 ST, CLEVELAND, 44109",Vacant Property,"May 17, 2024, 11:34AM"
24918,"16409 CLOVERSIDE AVE, CLEVELAND, 44128",Waste Cart Concerns,"May 17, 2024, 12:00PM"
24922,"1825 W 57 ST, CLEVELAND, 44102",Missing Recycling Welcome Packet,"May 17, 2024, 12:02PM"
24929,"1027 LITERARY RD, CLEVELAND, 44113",Waste Cart Concerns,"May 17, 2024, 12:08PM"
24936,"2343 E 34 ST, CLEVELAND, 44115",Vacant Property,"May 17, 2024, 12:19PM"
24938,"16905 BILTMORE AVE, CLEVELAND, 44128",Vacant Property Open to Entry,"May 17, 2024, 12:22PM"
24950,"11705 FAIRPORT AVE, CLEVELAND, 44108",Vacant Property Open to Entry,"May 17, 2024, 12:51PM"
24959,"2487 W 5 ST, CLEVELAND, 44113",General Exterior Maintenance/Fence/Outbuildings,"May 17, 2024, 12:59PM"
24978,"17612 INGLESIDE RD, CLEVELAND, 44119",Waste Cart Concerns,"May 17, 2024, 01:58PM"
24988,"1772 E 47 ST, CLEVELAND, 44103",Cart Pick Up,"May 17, 2024, 02:21PM"
24998,"13120 PURITAS AVE, CLEVELAND, 44135",Rental Inspection Complaint,"May 17, 2024, 02:42PM"
25016,"1922 CRESTON AVE, CLEVELAND, 44109",Vacant Property,"May 17, 2024, 03:22PM"
25023,"1966 TORBENSON DR, CLEVELAND, 44112",Waste Cart Concerns,"May 17, 2024, 03:30PM"
25028,"4604 PALLISTER DR, CLEVELAND, 44105",Missed Refuse pick up,"May 17, 2024, 03:39PM"
25032,"3179 SCRANTON RD, CLEVELAND, 44109",Missed Refuse pick up,"May 17, 2024, 03:49PM"
25044,"3326 W 31 ST, CLEVELAND, 44109",General Exterior Maintenance/Fence/Outbuildings,"May 17, 2024, 04:05PM"
25055,"15213 RIDPATH AVE, CLEVELAND, 44110",Vacant Property,"May 17, 2024, 04:13PM"
25064,"359 E 152 ST, CLEVELAND, 44110",General Exterior Maintenance/Fence/Outbuildings,"May 17, 2024, 04:21PM"
25069,"1009 E 72 ST, CLEVELAND, 44103",Missed Refuse pick up,"May 17, 2024, 04:23PM"
25083,"10827 GRANTWOOD AVE, CLEVELAND, 44108",Rental Inspection Complaint,"May 17, 2024, 04:40PM"
25087,"1158 E 74 ST, CLEVELAND, 44103",Waste Cart Concerns,"May 17, 2024, 04:45PM"
25091,"4202 ROBERT ST, CLEVELAND, 44109",Missed Refuse pick up,"May 17, 2024, 05:03PM"
25094,"9724 MARAH AVE, CLEVELAND, 44104",Vacant Property,"May 17, 2024, 05:07PM"
25109,"9400 MARAH AVE, CLEVELAND, 44104",Tree Service,"May 17, 2024, 05:25PM"
25114,"9905 RENO AVE, CLEVELAND, 44105",Vacant and Distressed Property,"May 17, 2024, 05:44PM"
25116,"9811 RENO AVE, CLEVELAND, 44105",General Exterior Maintenance/Fence/Outbuildings,"May 17, 2024, 05:47PM"
25118,"9822 WAY AVE, CLEVELAND, 44105",General Exterior Maintenance/Fence/Outbuildings,"May 17, 2024, 05:51PM"
25121,"13417 GLENDALE AVE, CLEVELAND, 44105",Vacant Property Open to Entry,"May 18, 2024, 05:19AM"
25131,"7925 SPAFFORD RD, CLEVELAND, 44105",Dead Animal Pickup,"May 18, 2024, 09:13AM"
25137,"6112 HOSMER AVE, CLEVELAND, 44105",Missed Refuse pick up,"May 18, 2024, 10:11AM"
25144,"6506 LANSING AVE, CLEVELAND, 44105",Missed Refuse pick up,"May 18, 2024, 11:15AM"
